"","Country Name","Country Code","Indicator Code","Indicator Name","Forest Area"
"65","1990","ECU","AG.LND.FRST.ZS","Forest area (% of land area)",52.8494784329396
"66","1990","EGY","AG.LND.FRST.ZS","Forest area (% of land area)",0.0442011150735848
"67","1990","EMU","AG.LND.FRST.ZS","Forest area (% of land area)",34.370005616242
"68","1990","ERI","AG.LND.FRST.ZS","Forest area (% of land area)",16.049504950495
"69","1990","ESP","AG.LND.FRST.ZS","Forest area (% of land area)",27.6499484109703
"70","1990","EST","AG.LND.FRST.ZS","Forest area (% of land area)",52.0405756074546
"71","1990","ETH","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"72","1990","EUU","AG.LND.FRST.ZS","Forest area (% of land area)",34.9613327390243
"73","1990","FCS","AG.LND.FRST.ZS","Forest area (% of land area)",30.4065655487313
"74","1990","FIN","AG.LND.FRST.ZS","Forest area (% of land area)",71.8178535079944
"75","1990","FJI","AG.LND.FRST.ZS","Forest area (% of land area)",52.1565421135229
"76","1990","FRA","AG.LND.FRST.ZS","Forest area (% of land area)",26.3639444159487
"77","1990","FRO","AG.LND.FRST.ZS","Forest area (% of land area)",0.0573065864714499
"78","1990","FSM","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"79","1990","GAB","AG.LND.FRST.ZS","Forest area (% of land area)",85.380525478325
"80","1990","GBR","AG.LND.FRST.ZS","Forest area (% of land area)",11.4826602736329
"81","1990","GEO","AG.LND.FRST.ZS","Forest area (% of land area)",39.6028205497194
"82","1990","GHA","AG.LND.FRST.ZS","Forest area (% of land area)",37.9142128856465
"83","1990","GIB","AG.LND.FRST.ZS","Forest area (% of land area)",0
"84","1990","GIN","AG.LND.FRST.ZS","Forest area (% of land area)",29.5621032069022
"85","1990","GMB","AG.LND.FRST.ZS","Forest area (% of land area)",43.6758893280632
"86","1990","GNB","AG.LND.FRST.ZS","Forest area (% of land area)",78.8051209103841
"87","1990","GNQ","AG.LND.FRST.ZS","Forest area (% of land area)",66.3101604278075
"88","1990","GRC","AG.LND.FRST.ZS","Forest area (% of land area)",25.5934833204034
"89","1990","GRD","AG.LND.FRST.ZS","Forest area (% of land area)",49.9705875621124
"90","1990","GRL","AG.LND.FRST.ZS","Forest area (% of land area)",0.000643839621913687
"91","1990","GTM","AG.LND.FRST.ZS","Forest area (% of land area)",44.307577454274
"92","1990","GUM","AG.LND.FRST.ZS","Forest area (% of land area)",46.2962962962963
"93","1990","GUY","AG.LND.FRST.ZS","Forest area (% of land area)",84.6329692659385
"94","1990","HIC","AG.LND.FRST.ZS","Forest area (% of land area)",28.4507844367479
"95","1990","HKG","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"96","1990","HND","AG.LND.FRST.ZS","Forest area (% of land area)",72.714272946644
"97","1990","HPC","AG.LND.FRST.ZS","Forest area (% of land area)",35.6458896453823
"98","1990","HRV","AG.LND.FRST.ZS","Forest area (% of land area)",33.0888928635307
"99","1990","HTI","AG.LND.FRST.ZS","Forest area (% of land area)",4.20899854862119
"100","1990","HUN","AG.LND.FRST.ZS","Forest area (% of land area)",20.0400578613553
"101","1990","IBD","AG.LND.FRST.ZS","Forest area (% of land area)",34.4938875596922
"102","1990","IBT","AG.LND.FRST.ZS","Forest area (% of land area)",33.5316260952609
"103","1990","IDA","AG.LND.FRST.ZS","Forest area (% of land area)",30.6212123617891
"104","1990","IDB","AG.LND.FRST.ZS","Forest area (% of land area)",24.3978038254176
"105","1990","IDN","AG.LND.FRST.ZS","Forest area (% of land area)",65.4377142478624
"106","1990","IDX","AG.LND.FRST.ZS","Forest area (% of land area)",32.8011459878542
"107","1990","IMN","AG.LND.FRST.ZS","Forest area (% of land area)",6.070175505521
"108","1990","IND","AG.LND.FRST.ZS","Forest area (% of land area)",21.5051846669739
"109","1990","INX","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"110","1990","IRL","AG.LND.FRST.ZS","Forest area (% of land area)",6.74989113078821
"111","1990","IRN","AG.LND.FRST.ZS","Forest area (% of land area)",5.57237381217153
"112","1990","IRQ","AG.LND.FRST.ZS","Forest area (% of land area)",1.8382605116949
"113","1990","ISL","AG.LND.FRST.ZS","Forest area (% of land area)",0.160598507545832
"114","1990","ISR","AG.LND.FRST.ZS","Forest area (% of land area)",6.09981515711645
"115","1990","ITA","AG.LND.FRST.ZS","Forest area (% of land area)",25.8066709734453
"116","1990","JAM","AG.LND.FRST.ZS","Forest area (% of land area)",31.8190218008787
"117","1990","JOR","AG.LND.FRST.ZS","Forest area (% of land area)",1.10494106980961
"118","1990","JPN","AG.LND.FRST.ZS","Forest area (% of land area)",68.4311574328031
"119","1990","KAZ","AG.LND.FRST.ZS","Forest area (% of land area)",1.26754824610142
"120","1990","KEN","AG.LND.FRST.ZS","Forest area (% of land area)",8.30024247109674
"121","1990","KGZ","AG.LND.FRST.ZS","Forest area (% of land area)",4.35870698644421
"122","1990","KHM","AG.LND.FRST.ZS","Forest area (% of land area)",73.328801268978
"123","1990","KIR","AG.LND.FRST.ZS","Forest area (% of land area)",14.9999995290498
"124","1990","KNA","AG.LND.FRST.ZS","Forest area (% of land area)",42.3076923076923
"125","1990","KOR","AG.LND.FRST.ZS","Forest area (% of land area)",66.0377358490566
"126","1990","KWT","AG.LND.FRST.ZS","Forest area (% of land area)",0.193602696278548
"127","1990","LAC","AG.LND.FRST.ZS","Forest area (% of land area)",52.595575807816
"128","1990","LAO","AG.LND.FRST.ZS","Forest area (% of land area)",76.4510415538345
"129","1990","LBN","AG.LND.FRST.ZS","Forest area (% of land area)",12.8054740957967
"130","1990","LBR","AG.LND.FRST.ZS","Forest area (% of land area)",51.1731727574751
"131","1990","LBY","AG.LND.FRST.ZS","Forest area (% of land area)",0.123327687918433
"132","1990","LCA","AG.LND.FRST.ZS","Forest area (% of land area)",35.7377036673123
"133","1990","LCN","AG.LND.FRST.ZS","Forest area (% of land area)",51.0311952342473
"134","1990","LDC","AG.LND.FRST.ZS","Forest area (% of land area)",33.9729206408191
"135","1990","LIC","AG.LND.FRST.ZS","Forest area (% of land area)",29.8374800515675
"136","1990","LIE","AG.LND.FRST.ZS","Forest area (% of land area)",40.625
"137","1990","LKA","AG.LND.FRST.ZS","Forest area (% of land area)",36.4216233455589
"138","1990","LMC","AG.LND.FRST.ZS","Forest area (% of land area)",32.4226247596449
"139","1990","LMY","AG.LND.FRST.ZS","Forest area (% of land area)",33.7064225667067
"140","1990","LSO","AG.LND.FRST.ZS","Forest area (% of land area)",1.31752305665349
"141","1990","LTE","AG.LND.FRST.ZS","Forest area (% of land area)",38.7813806890637
"142","1990","LTU","AG.LND.FRST.ZS","Forest area (% of land area)",31.0306317804722
"143","1990","LUX","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"144","1990","LVA","AG.LND.FRST.ZS","Forest area (% of land area)",51.0161425172037
"145","1990","MAC","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"146","1990","MAF","AG.LND.FRST.ZS","Forest area (% of land area)",18.3823529411765
"147","1990","MAR","AG.LND.FRST.ZS","Forest area (% of land area)",11.1001568451714
"148","1990","MCO","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"149","1990","MDA","AG.LND.FRST.ZS","Forest area (% of land area)",9.70489808335869
"150","1990","MDG","AG.LND.FRST.ZS","Forest area (% of land area)",23.5443821577192
"151","1990","MDV","AG.LND.FRST.ZS","Forest area (% of land area)",3.33333333333333
"152","1990","MEA","AG.LND.FRST.ZS","Forest area (% of land area)",1.77524062576496
"153","1990","MEX","AG.LND.FRST.ZS","Forest area (% of land area)",35.8856966485764
"154","1990","MHL","AG.LND.FRST.ZS","Forest area (% of land area)",NA
"155","1990","MIC","AG.LND.FRST.ZS","Forest area (% of land area)",34.3290033903648
"156","1990","MKD","AG.LND.FRST.ZS","Forest area (% of land area)",35.863153755407
"157","1990","MLI","AG.LND.FRST.ZS","Forest area (% of land area)",5.48275268605709
"158","1990","MLT","AG.LND.FRST.ZS","Forest area (% of land area)",1.09374998137355
"159","1990","MMR","AG.LND.FRST.ZS","Forest area (% of land area)",60.0085687180586
"160","1990","MNA","AG.LND.FRST.ZS","Forest area (% of land area)",2.14823790657279
"161","1990","MNE","AG.LND.FRST.ZS","Forest area (% of land area)",46.542750929368
"162","1990","MNG","AG.LND.FRST.ZS","Forest area (% of land area)",8.06920878498416
